id,city,state_id,street,street2,zip
__export__.res_partner_115723,TAMPICO,Tamaulipas,ALTAMIRA 1305 ISLETA PEREZ,ISLETA PEREZ,89090
__export__.res_partner_115721,TAMPICO,Tamaulipas,ALTAMIRA 1305 ISLETA PEREZ,ISLETA PEREZ,89090
__export__.res_partner_109615,TAMPICO,Tamaulipas,HEROES DEL CANONERO NO 409 INT 9,TAMPICO CENTRO,89000
__export__.res_partner_107743,TAMPICO,Tamaulipas,FRANCISCO I. MADERO 810,CENTRO,89000
__export__.res_partner_106953,CD DEL CARMEN,Campeche,CALLE 51 5-A ENTRE CALLE 20 Y CALLE 22-A,PALLAS,24140
__export__.res_partner_83958,COMALCALCO,Tabasco,ORIENTE 1A. SECC. KM 155,NORTE 1RA. SECCION (SAN JULIAN),86650
__export__.res_partner_119051,CD DEL CARMEN,Campeche,CALLE 67 10A ENTRE CALLE 40 Y 38,PLAYA NORTE,24140
__export__.res_partner_83944,ATOTONILCO DE TULA,Hidalgo,CARRETERA JOROBAS-TULA KM. 8.5,EL LLANO,42800
__export__.res_partner_113579,MANZANILLO,Colima,BARRIO 4 V GARZAS,FRACCIONAMIENTO VALLE ESMERALDA Y CANAL 4 JUPITER,28219
__export__.res_partner_83945,MONTERREY,Nuevo León,HORTENSIA 2940,ALTA VISTA INVERNADERO,64770
__export__.res_partner_83959,PARAISO,Tabasco,CALLE EL MORRO S/N,FRACCIONAMIENTO COSTA REAL,86600
__export__.res_partner_83951,LAZARO CARDENAS,Michoacán,BOULEVARD DE LAS ISLAS S/N,INTERIOR ISLA DEL CAYACAL,60950
__export__.res_partner_83952,LAS GUACAMAYAS,Michoacán,PRESA YOSOCUTA ESQ. AVENIDA CIRCUNVALACION 1351,CAMPAMENTO OBRERO,60990
__export__.res_partner_83960,AGUA DULCE,Veracruz,BOULEVARD AZTECA S/N,PEMEX,96600
__export__.res_partner_83946,POZA RICA DE HIDALGO,Veracruz,CUBA 204 (ENTRE GPE VICTORIA Y ALLENDE),27 DE SEPTIEMBRE,93230
__export__.res_partner_83961,CUNDUACAN,Tabasco,KM. 142 CARRETERA CARDENAS-VILLAHERMOSA,RANCHERIA PLATANO CACAO 2A. SECC. MARIN,86697
__export__.res_partner_83953,ENSENADA,Baja California,INT. RECINTO PORTUARIO,SECCION PRIMERA,22800
__export__.res_partner_83966,REYNOSA,Tamaulipas,LIBRAMIENTO MONTERREY-MATAMOROS S/N KM 8,LOPEZ PORTILLO,88757
__export__.res_partner_110414,COATZACOALCOS,Veracruz,CALLE LOPEZ MATEOS 908,FRUTOS DE LA REVOLUCION ABSALON ALTO RAMIREZ Y/O DANIEL RIVEROLL DE LA CRUZ,96470
__export__.res_partner_83954,MANZANILLO,Colima,PTO. INT. 1 USOS MULT. 2 (FTE. BODEGAS DE CEMEX),CENTRO,28260
__export__.res_partner_108579,PARAISO,Tabasco,"CALLE 5 DE MAYO 616, ENTRE LAS CALLES REGINO HERNANDEZ LLERGO Y CALLE PROLONGACION NICOLAS BRAVO.",CENTRO,86605
__export__.res_partner_88849,GUASAVE,Sinaloa,BOULEVARD ADOLFO LOPEZ MATEOS 3239,MIGUEL HIDALGO,81210
__export__.res_partner_88850,CULIACAN ROSALES,Sinaloa,EMILIANO ZAPATA 4699,SAN RAFAEL,80150
__export__.res_partner_88851,HERMOSILLO,Sonora,CARRETERA LA 26 RUMBO REAL DE CATORCE KM. 17.5,EJIDO PALO VERDE,83280
__export__.res_partner_88852,GUASAVE,Sinaloa,BOULEVARD LAS PALMAS 370,DEL BOSQUE,81040
__export__.res_partner_94013,MONTERREY,Nuevo León,AVENIDA CRISTOBAL COLON 3903 ORIENTE,FIERRO,64000
__export__.res_partner_114885,CD LOPEZ MATEOS,México,CALLE TEPOZAN 30,EL JARAL,52924
__export__.res_partner_109546,HEROICA PUEBLA DE ZARAGOZA,Puebla,KM 116 AUTOPISTA MEXICO,GUADALUPE CALERAS,72100
__export__.res_partner_105535,HEROICA PUEBLA DE ZARAGOZA,Puebla,"AUT. MEXICO-PUEBLA KM 116 SAN LORENZO ALMECATLA""",GUADALUPE CALERAS,72100
__export__.res_partner_92798,PUEBLA,Puebla,AUTOPISTA MEXICO PUEBLA KM 116,SAN LORENZO ALMECATLA,72700
__export__.res_partner_115853,PUEBLA,Puebla,AUTOPISTA MEXICO-PUEBLA KM 116,SAN LORENZO ALMECATLA,72700
__export__.res_partner_92693,PUEBLA,Puebla,AUT. MEXICO-PUEBLA KM 116,SAN LORENZO ALMECATLA,72700
__export__.res_partner_92795,HEROICA PUEBLA DE ZARAGOZA,Puebla,KM. 10.9 CARRETERA FEDERAL PUEBLA-TLAXCALA,BARRANCA HONDA,72014
__export__.res_partner_119069,PUEBLA,Puebla,KM 116 AUTOPISTA MEXICO-PUEBLA,SAN LORENZO ALMECATLA,72700
__export__.res_partner_104663,CUAUTLANCINGO,Puebla,"KM 116 AUTOPISTA MEXICO-PUEBLA, SAN LORENZO ALMECATLA",SAN LORENZO ALMECATLA,72008
__export__.res_partner_92796,PUEBLA,Puebla,AUTOPISTA MEXICO-PUEBLA KM 116,SAN LORENZO ALMECATLA,72700
__export__.res_partner_115317,PUEBLA,Puebla,AUTOPISTA MEXICO PUEBLA KM 116,SAN LORE CUAUTLANCINGO,72700
__export__.res_partner_105646,CUAUTLANCINGO,Puebla,AUTOPISTA MEXICO PUEBLA KM 116,SAN LORENZO ALMECATLA,72700
__export__.res_partner_92694,PUEBLA,Puebla,AUTOPISTA MEXICO-PUEBLA KM 116,SAN LORENZO ALMECATLA,72700
__export__.res_partner_92695,PUEBLA,Puebla,KM 116 AUTOPISTA MEXICO PUEBLA,SAN LORENZO ALMECATLA,72008
__export__.res_partner_92799,SILAO,Guanajuato,MINERAL DE VALENCIANA 611,PARQUE INDUSTRIAL,36275
__export__.res_partner_108941,CD APODACA,Nuevo León,REGIO PARQUE 101,REGIO PARQUE INDUSTRIAL,66633
__export__.res_partner_97740,PUEBLA,Puebla,14 PONIENTE 1911,JESUS GARCIA,72090
__export__.res_partner_106592,AZCAPOTZALCO,Ciudad de México,PONIENTE 140 859,INDUSTRIAL VALLEJO,02300
__export__.res_partner_106215,TEPIC,Nayarit,AVENIDA INDEPENDENCIA NO 363,LOS LLANITOS,63145
__export__.res_partner_97741,GUSTAVO A. MADERO,Ciudad de México,C. 3 ANEGAS NUM. 492-2,SIETE MARAVILLAS,07707
__export__.res_partner_97742,AGUASCALIENTES,Aguascalientes,JUAN CARLOS 117,PARQUE INDUSTRIAL SIGLO XXI,20290
__export__.res_partner_106842,TUXPAM DE RODRIGUEZ CANO,Veracruz,"MARGEN DERECHO DEL RIO TUXPAN LOTE 9, 10 Y 11 MANZANA 5",LA VICTORIA,92770
__export__.res_partner_97743,SAN JUAN DEL RIO,Querétaro,BOULEVARD HIDALGO S/N FRENTE A MC DONALS,CENTRO (ENTRAR POR ATRAS DE LAS OFICINAS,76800
__export__.res_partner_97744,GUSTAVO A. MADERO,Ciudad de México,CALLE HOSPITAL BENITO JUAREZ 10,MAGDALENA DE LAS SALINAS,07760
__export__.res_partner_97745,TUXTLA GUTIERREZ,Chiapas,CALLEJÏN ACEITUNA 358 Y CALLEJON PALMAR 1 Y 2,ARROYO GRANDE,29090
__export__.res_partner_107771,ARTEAGA,Coahuila,"LIBRAMIENTO OSCAR FLORES TAPIA KM. 10.5, PRESAS DE LAS CASAS",ARTEAGA CENTRO,25350
__export__.res_partner_113416,QUERETARO,Querétaro,LIBRAMIENTO SUR PONIENTE KM. 18.2 INDUSTRIAL BALVANERA CORREGIDORA,VENCEREMOS,76900
__export__.res_partner_107066,AGUASCALIENTES,Aguascalientes,AVENIDA LOS ARELLANOS 110,PARQUE INDUSTRIAL AGUASCALIENTES,20393
__export__.res_partner_109715,VERACRUZ,Veracruz,CALZADA SALVADOR DIAZ MIRON 1892,FRACCIONAMIENTO MODERNO,91918
__export__.res_partner_111764,GUSTAVO A. MADERO,Ciudad de México,"LIC. JOSE URBANO FONSECA 343 BISS, CAPULTITLAN",CAPULTITLAN,07370
__export__.res_partner_105273,LEON,Guanajuato,BOULEVARD AUREOLA 104 FRACCIONAMIENTO: SANTA JULIA,SANTA JULIA,37290
__export__.res_partner_97712,TOLUCA DE LERDO,México,CARRETERA TOLUCA-ATLACOMULCO 1710 SAN PABLO AUTOPAN,BARRIO DE JESUS LA PIPITILLA,50200
__export__.res_partner_107690,GUADALAJARA,Jalisco,TUBEROSA 518,SAN CARLOS,44420
__export__.res_partner_107399,PUERTO VALLARTA,Jalisco,AVENIDA LIBRAMIENTO 1830,"OLIMPICA, PUERTO VALLARTA JALISCO",48310
__export__.res_partner_106896,VERACRUZ,Veracruz,"EXPANSION CASI ESQUINA EVOLUCION, PARKE 2000,",RENACIMIENTO,91808
__export__.res_partner_97746,TULTITLAN,México,JUAN DE DIOS PEZA 87-82,BELEM,59400
__export__.res_partner_106867,VERACRUZ,Veracruz,SALVADOR DIAZ MIRON 1892,MODERNO,91910
__export__.res_partner_97747,MEXICO,México,AVENIDA CUAHUTEMOC 140 (ATRAZ DE CERVECERIA CUAHUTEMO),EL CARMEN TOTOLTEPEC,50200
